repo,url,name
darwin-eu/CohortSurvival,https://darwin-eu-dev.github.io/CohortSurvival/,CohortSurvival
darwin-eu/CDMConnector,https://darwin-eu.github.io/CDMConnector/,CDMConnector
darwin-eu/CodelistGenerator,https://darwin-eu.github.io/CodelistGenerator/,CodelistGenerator
darwin-eu/CohortCharacteristics,https://darwin-eu.github.io/CohortCharacteristics/,CohortCharacteristics
darwin-eu/DrugUtilisation,https://darwin-eu.github.io/DrugUtilisation/,DrugUtilisation
darwin-eu/IncidencePrevalence,https://darwin-eu.github.io/IncidencePrevalence/,IncidencePrevalence
darwin-eu/PatientProfiles,https://darwin-eu.github.io/PatientProfiles/,PatientProfiles
darwin-eu/omopgenerics,https://darwin-eu.github.io/omopgenerics/,omopgenerics
darwin-eu/visOmopResults,https://darwin-eu.github.io/visOmopResults/,visOmopResults
OHDSI/CohortConstructor,https://ohdsi.github.io/CohortConstructor/,CohortConstructor
OHDSI/OmopSketch,https://ohdsi.github.io/OmopSketch/,OmopSketch
OHDSI/PhenotypeR,https://ohdsi.github.io/PhenotypeR/,PhenotypeR
OHDSI/omock,https://ohdsi.github.io/omock/,omock
iomedhealth/CohortUtilisation,https://github.com/iomedhealth/omopHeor/tree/main/packages/CohortUtilisation,CohortUtilisation
iomedhealth/CohortCosts,https://github.com/iomedhealth/omopHeor/tree/main/packages/CohortCosts,CohortCosts
iomedhealth/CohortEconomics,https://github.com/iomedhealth/omopHeor/tree/main/packages/CohortEconomics,CohortEconomics
OHDSI/CohortSymmetry,https://ohdsi.github.io/CohortSymmetry/,CohortSymmetry
oxford-pharmacoepi/EpiStandard,https://oxford-pharmacoepi.github.io/EpiStandard/,EpiStandard
OHDSI/MeasurementDiagnostics,https://ohdsi.github.io/MeasurementDiagnostics/,MeasurementDiagnostics
OHDSI/OmopConstructor,https://ohdsi.github.io/OmopConstructor/,OmopConstructor
OHDSI/OmopViewer,https://ohdsi.github.io/OmopViewer/,OmopViewer
